41971,76003,0047100313,"APR 14, 1972",MIL vs. LAL,L,0,15,,,,,,3,6,0.5,,,,,,,,,33,,0
41971,76003,0047100312,"APR 12, 1972",MIL @ LAL,L,0,18,,,,,,4,4,1.0,,,,,,,,,40,,0
41971,76003,0047100311,"APR 09, 1972",MIL @ LAL,W,0,14,,,,,,5,7,0.714,,,,,,,,,33,,0
41971,76003,0047100235,"APR 06, 1972",MIL vs. GOS,W,0,8,,,,,,7,10,0.7,,,,,,,,,23,,0
41971,76003,0047100234,"APR 04, 1972",MIL @ GOS,W,0,6,,,,,,3,4,0.75,,,,,,,,,15,,0
41971,76003,0047100233,"APR 01, 1972",MIL @ GOS,W,0,10,,,,,,3,5,0.6,,,,,,,,,23,,0
41971,76003,0047100232,"MAR 30, 1972",MIL vs. GOS,W,0,12,,,,,,1,2,0.5,,,,,,,,,25,,0
41971,76003,0047100231,"MAR 28, 1972",MIL vs. GOS,L,0,13,,,,,,2,4,0.5,,,,,,,,,28,,0
41972,76003,0047200226,"APR 13, 1973",MIL @ GOS,L,0,13,,,,,,1,4,0.25,,,,,,,,,27,,0
41972,76003,0047200225,"APR 10, 1973",MIL vs. GOS,L,0,8,,,,,,3,10,0.3,,,,,,,,,19,,0
41972,76003,0047200104,"APR 07, 1973",MIL @ GOS,L,0,8,,,,,,9,10,0.9,,,,,,,,,25,,0
41972,76003,0047200223,"APR 05, 1973",MIL @ GOS,W,0,8,,,,,,2,4,0.5,,,,,,,,,18,,0
41972,76003,0047200222,"APR 01, 1973",MIL vs. GOS,L,0,12,,,,,,2,5,0.4,,,,,,,,,26,,0
41972,76003,0047200221,"MAR 30, 1973",MIL vs. GOS,W,0,10,,,,,,2,2,1.0,,,,,,,,,22,,0
41973,76003,0047300407,"MAY 12, 1974",MIL vs. BOS,L,46,10,21,0.476,,,,6,11,0.545,3,10,13,4,0,0,,1,26,,0
41973,76003,0047301405,"MAY 10, 1974",MIL @ BOS,W,58,16,26,0.615,,,,2,2,1.0,2,6,8,6,1,2,,4,34,,0
41973,76003,0047300415,"MAY 07, 1974",MIL vs. BOS,L,48,16,31,0.516,,,,5,7,0.714,3,8,11,6,0,2,,4,37,,0
41973,76003,0047300404,"MAY 05, 1974",MIL @ BOS,W,48,14,24,0.583,,,,6,7,0.857,3,11,14,6,0,3,,2,34,,0
41973,76003,0047300413,"MAY 03, 1974",MIL @ BOS,L,46,12,24,0.5,,,,2,4,0.5,3,7,10,5,1,3,,3,26,,0
41973,76003,0047300402,"APR 30, 1974",MIL vs. BOS,W,53,15,31,0.484,,,,6,9,0.667,6,9,15,6,1,3,,4,36,,0
